start_of_interval,end_of_interval,species,confidence
117, 120, Turdus fuscater_Great Thrush, 0.063187495
117, 120, Garrulax canorus_Chinese Hwamei, 0.057927076
117, 120, Schistochlamys melanopis_Black-faced Tanager, 0.029332094
117, 120, Turdus rufiventris_Rufous-bellied Thrush, 0.025749383
120, 123, Human vocal_Human vocal, 0.053619333
120, 123, Engine_Engine, 0.031098662
120, 123, Power tools_Power tools, 0.0066669574
120, 123, Human non-vocal_Human non-vocal, 0.0051874463
120, 123, Human whistle_Human whistle, 0.005086828
123, 126, Human vocal_Human vocal, 0.030832307
123, 126, Engine_Engine, 0.009668399
123, 126, Grallaria ruficapilla_Chestnut-crowned Antpitta, 0.004828175
123, 126, Batara cinerea_Giant Antshrike, 0.0042503164
123, 126, Power tools_Power tools, 0.0036903976
126, 129, Human vocal_Human vocal, 0.2029598
126, 129, Engine_Engine, 0.04974896
126, 129, Human non-vocal_Human non-vocal, 0.009003182
126, 129, Power tools_Power tools, 0.0077600074
126, 129, Gun_Gun, 0.0054381276
129, 132, Human vocal_Human vocal, 0.10475191
129, 132, Psilopogon haemacephalus_Coppersmith Barbet, 0.0088510895
129, 132, Psittacula krameri_Rose-ringed Parakeet, 0.007990259
129, 132, Tadorna ferruginea_Ruddy Shelduck, 0.007972423
129, 132, Cygnus buccinator_Trumpeter Swan, 0.0073436713
132, 135, Human vocal_Human vocal, 0.25801617
132, 135, Engine_Engine, 0.032267842
132, 135, Human whistle_Human whistle, 0.0131101925
132, 135, Human non-vocal_Human non-vocal, 0.009660978
132, 135, Power tools_Power tools, 0.008607308
135, 138, Human vocal_Human vocal, 0.18606664
135, 138, Human whistle_Human whistle, 0.016193798
135, 138, Engine_Engine, 0.009734914
135, 138, Human non-vocal_Human non-vocal, 0.008674071
135, 138, Molothrus bonariensis_Shiny Cowbird, 0.0052798963
138, 141, Human vocal_Human vocal, 0.2094584
138, 141, Engine_Engine, 0.061021965
138, 141, Human whistle_Human whistle, 0.022766845
138, 141, Power tools_Power tools, 0.019538088
138, 141, Human non-vocal_Human non-vocal, 0.015057551
141, 144, Human vocal_Human vocal, 0.07314781
141, 144, Zenaida auriculata_Eared Dove, 0.018160868
141, 144, Bubo virginianus_Great Horned Owl, 0.010021549
141, 144, Leptotila verreauxi_White-tipped Dove, 0.009912561
141, 144, Dog_Dog, 0.009478704
144, 147, Human vocal_Human vocal, 0.3878018
144, 147, Dog_Dog, 0.02803901
144, 147, Engine_Engine, 0.027037235
144, 147, Larus marinus_Great Black-backed Gull, 0.026173642
144, 147, Buceros hydrocorax_Rufous Hornbill, 0.024136722
147, 150, Human vocal_Human vocal, 0.12940386
147, 150, Engine_Engine, 0.0539172
147, 150, Power tools_Power tools, 0.013344747
147, 150, Human whistle_Human whistle, 0.011933483
147, 150, Human non-vocal_Human non-vocal, 0.010267367
150, 153, Human vocal_Human vocal, 0.108382985
150, 153, Human non-vocal_Human non-vocal, 0.029706623
150, 153, Engine_Engine, 0.024542555
150, 153, Human whistle_Human whistle, 0.008604786
150, 153, Gun_Gun, 0.007598599
153, 156, Human vocal_Human vocal, 0.24166779
153, 156, Human non-vocal_Human non-vocal, 0.046222743
153, 156, Engine_Engine, 0.018399585
153, 156, Calonectris diomedea_Cory's Shearwater, 0.012260628
153, 156, Power tools_Power tools, 0.008345141
156, 159, Human vocal_Human vocal, 0.4354757
156, 159, Human whistle_Human whistle, 0.045578144
156, 159, Engine_Engine, 0.038018174
156, 159, Power tools_Power tools, 0.030607754
156, 159, Human non-vocal_Human non-vocal, 0.017265141
159, 162, Human vocal_Human vocal, 0.38006386
159, 162, Human whistle_Human whistle, 0.06964897
159, 162, Engine_Engine, 0.039305106
159, 162, Human non-vocal_Human non-vocal, 0.028708614
159, 162, Gun_Gun, 0.020246062
